Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Black,SUB,GLM,matRRfit,1.042618579,1.064700158,1.070595391,0.965352242,0.969297707,1.038063843,0.873623606,1.047236502
Black,SUB,GLM,matRRlow,0.957943217,0.967116141,0.976072903,0.880516701,0.88376154,0.944942295,0.791074882,0.959904892
Black,SUB,GLM,matRRhigh,1.134778641,1.172130604,1.174271396,1.058361472,1.063112619,1.140362273,0.964786297,1.142513493
Black,SMM,GLM,matRRfit,0.98288404,1.011952546,1.10858011,1.033705245,0.825041514,1.005442367,1.154639398,1.040693356
Black,SMM,GLM,matRRlow,0.85559617,0.865834724,0.953529434,0.889338898,0.708046521,0.862610145,0.988230318,0.908418243
Black,SMM,GLM,matRRhigh,1.12910865,1.182729137,1.28884313,1.201506575,0.961368329,1.171924953,1.349070267,1.192229096
Hispanic,GDM,GLM,matRRfit,0.968291267,1.008430463,0.928724626,0.995708389,0.954943992,1.046321673,1.006053661,0.884072826
Hispanic,GDM,GLM,matRRlow,0.865635668,0.888172889,0.82168446,0.883823821,0.84744545,0.926893262,0.886318197,0.789408939
Hispanic,GDM,GLM,matRRhigh,1.083120776,1.144970772,1.049708829,1.12175659,1.076078734,1.181138204,1.14196456,0.990088563
Hispanic,PTB,GLM,matRRfit,1.051362647,0.917206603,1.132457494,0.894872645,1.010868141,1.046018919,1.041803065,0.952662548
Hispanic,PTB,GLM,matRRlow,0.935949177,0.803155524,0.998730145,0.790049228,0.893675673,0.922492966,0.913577338,0.848011306
Hispanic,PTB,GLM,matRRhigh,1.181007947,1.047453361,1.284090584,1.013603991,1.143428685,1.186085551,1.188025995,1.070228574
Hispanic,HDP,GLM,matRRfit,1.038688346,0.961254376,1.135082393,1.055205148,0.772471653,1.24312546,1.024106214,0.961504006
Hispanic,HDP,GLM,matRRlow,0.926161341,0.843467466,1.0027741,0.934463249,0.682474717,1.099021023,0.899171318,0.856586427
Hispanic,HDP,GLM,matRRhigh,1.164887187,1.095489764,1.284847744,1.191548096,0.874336352,1.406124975,1.166400125,1.079272242
Hispanic,SMI,GLM,matRRfit,2.06E-06,5.930609477,0.083308095,2.126843551,4.932355139,0.493888831,1.867895253,1.171568286
Hispanic,SMI,GLM,matRRlow,0,3.072484,0.049252032,1.614393689,3.683760583,0.357151445,1.290275238,0.862628852
Hispanic,SMI,GLM,matRRhigh,Inf,11.4474571,0.140912738,2.80195811,6.604155364,0.682976873,2.704099539,1.591150408
Hispanic,PMAD,GLM,matRRfit,1.583167412,0.745969815,1.151735882,0.96780203,1.117226822,0.945301056,1.040544695,1.120140951
Hispanic,PMAD,GLM,matRRlow,1.344306128,0.612037969,0.956946719,0.806260023,0.930955106,0.782840146,0.853876601,0.941813077
Hispanic,PMAD,GLM,matRRhigh,1.864470454,0.909209874,1.38617492,1.161710544,1.340769028,1.141477082,1.268020766,1.332234368
Hispanic,MDP,GLM,matRRfit,1.172269644,0.921203359,1.084387531,0.921617254,1.18593311,0.701269704,1.406461369,0.854043591
Hispanic,MDP,GLM,matRRlow,1.008355918,0.772723366,0.916142053,0.780847242,1.006507567,0.588899181,1.180469241,0.728626635
Hispanic,MDP,GLM,matRRhigh,1.362828435,1.098214013,1.283530555,1.08776508,1.397344031,0.835082156,1.675718023,1.001048302
Hispanic,SUB,GLM,matRRfit,1.512177457,0.928749493,1.021789532,0.980098798,0.6608213,1.85481356,0.650575513,1.337837342
Hispanic,SUB,GLM,matRRlow,1.263744356,0.749652662,0.834829411,0.801450922,0.538491326,1.525189411,0.523307709,1.111403885
