"lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","Type","Pred_Model"
"1.02427048492963","0.892557544990911","1.03676534137598","0.981344707271389","1.03686744375868","0.994540184319303","0.980017504898267","0.915540878922697","matRRfit","gdm_nb"
"0.944146192691384","0.813637361904482","0.949648873499239","0.89983569537915","0.950872703981219","0.910394983694453","0.893465107361381","0.843089021233023","matRRlow","gdm_nb"
"1.11119446799581","0.979132729666519","1.13187347773895","1.07023697707812","1.13063934996277","1.086462684814","1.07495446883586","0.994218973166854","matRRhigh","gdm_nb"
"1.02114564644881","0.898887955184356","1.02721913474394","0.979647375723648","1.03435522423548","0.990593374729102","0.980814943974718","0.915482797287245","matRRfit","gdm_gnm"
"0.953833491979241","0.832003339496084","0.954865956761164","0.911542559773581","0.962358230566297","0.920080271479356","0.907565346611217","0.854088657178832","matRRlow","gdm_gnm"
"1.09320802847637","0.971149414454143","1.10505473916274","1.05284056182809","1.11173853552815","1.06651046052693","1.05997651619926","0.981290109737863","matRRhigh","gdm_gnm"
"0.99663547949097","1.08645010490697","1.00573098268736","0.971561370126276","1.13619587100663","0.944733105036873","0.988475082757619","1.02970836240809","matRRfit","gdm_cc"
"0.921739041603624","1.00506636607853","0.929830241994067","0.898445224353911","1.05437249076596","0.87668972906334","0.918344236793894","0.964345440758123","matRRlow","gdm_cc"
"1.07761767067184","1.17442376970371","1.08782739456621","1.05062776264457","1.22436906178641","1.01805759798987","1.0639615844314","1.09950155494031","matRRhigh","gdm_cc"
"0.96948907885107","0.985559331261885","1.04851777403377","0.968771693534078","0.978227303565306","1.04466668640557","1.02608203908949","0.941299062545716","matRRfit","ptb_nb"
"0.902407708772443","0.90913295473971","0.970611385852114","0.897530689361461","0.906329500500173","0.96679457376948","0.946657286362547","0.87621318656517","matRRlow","ptb_nb"
"1.04155700896003","1.06841050076715","1.13267733975689","1.04566741317847","1.0558286549346","1.12881114074789","1.11217054588732","1.01121957388339","matRRhigh","ptb_nb"
"0.96850880380894","0.990132033231709","1.03930963643719","0.967538380758484","0.974552131820779","1.04213681278683","1.02898787380997","0.939026667420702","matRRfit","ptb_gnm"
"0.910443929531651","0.92373523281584","0.972713487187815","0.906303466041687","0.912797311480676","0.974967355887555","0.95979554248187","0.882526860566651","matRRlow","ptb_gnm"
"1.03027684916078","1.06130134307328","1.11046524451309","1.03291066769206","1.04048494193722","1.11393384609971","1.10316832865262","0.999143619901908","matRRhigh","ptb_gnm"
"0.957231662484183","1.06275324043851","1.03325970614827","0.9013816944805","0.97346189584965","1.05260741282279","0.986574172336298","1.0117840045064","matRRfit","ptb_cc"
"0.883645464846867","0.979933477226616","0.952711444652407","0.830720543315137","0.898394102518592","0.973876569898324","0.914119947782906","0.945779474043318","matRRlow","ptb_cc"
"1.03694580248994","1.15257257386398","1.12061802798971","0.978053288416532","1.05480218538231","1.1377030722129","1.06477120413109","1.0823948921185","matRRhigh","ptb_cc"
"0.98459466093885","1.00260735984616","1.03327851144413","0.974352472150872","1.0205029623792","1.02812091215","0.966233299530233","0.983914643723568","matRRfit","hdp_nb"
"0.920801573670063","0.92970330163245","0.961101641257511","0.907099248273278","0.950045166211795","0.955864456642283","0.89525342532038","0.919834782104699","matRRlow","hdp_nb"
"1.05280733012371","1.08122829751452","1.11087572466869","1.04659191570679","1.09618609015959","1.10583943429934","1.04284078978751","1.0524585990525","matRRhigh","hdp_nb"
"0.978757764978368","1.00971522657263","1.02005011708802","0.975003342595692","1.01623270012112","1.02681853776669","0.968363432554012","0.976872633331455","matRRfit","hdp_gnm"
"0.923207195491837","0.945579334088122","0.957879102313768","0.916350952899528","0.954992741751154","0.963712490565049","0.905918863134585","0.9209440889957","matRRlow","hdp_gnm"
"1.0376508839872","1.07820126986574","1.08625633324492","1.03740986470825","1.08139973807734","1.09405690994327","1.03511227734362","1.03619769446871","matRRhigh","hdp_gnm"
"1.04399894257572","1.03998540418715","1.01929563333012","0.966460310572107","0.987259089772756","0.997443260865815","0.994231223839988","0.975322277094173","matRRfit","hdp_cc"
"0.970495113542183","0.96553355332897","0.946172544138424","0.896793899588858","0.917360308104618","0.927583963706227","0.925560320664791","0.914883547934621","matRRlow","hdp_cc"
"1.12306984021908","1.12017820322584","1.09806989704178","1.04153867721374","1.06248384819782","1.07256388378198","1.06799708715729","1.03975368924673","matRRhigh","hdp_cc"
"1.47452383974924","0.771709616977254","1.08038856484258","1.04422992820218","0.901570534292208","0.868221972883012","1.21276930921678","1.18899469882748","matRRfit","smi_nb"
"0.966448362631053","0.466497331597738","0.67340122523848","0.652656338965852","0.561901025386378","0.537538537093877","0.743514657667487","0.776828978256213","matRRlow","smi_nb"
"2.24970173064368","1.27661123139866","1.7333491643548","1.67073554312047","1.44657046629344","1.4023355390894","1.97818480403908","1.81984507968956","matRRhigh","smi_nb"
"1.47968059525839","0.779164939108141","1.04962174025881","1.05199601583297","0.90855479721039","0.865242190421795","1.23216433461281","1.16552693227317","matRRfit","smi_gnm"
"1.24172426005255","0.632500795390446","0.863769531189286","0.867641051089957","0.747286079074672","0.70949899946856","1.00681167473376","0.977027160022003","matRRlow","smi_gnm"
"1.76323740658138","0.959837531841568","1.2754626759143","1.27552242478405","1.10462625043966","1.05517280312822","1.50795723330614","1.39039433645172","matRRhigh","smi_gnm"
"1.38236235893285","0.43317755247297","1.75452438130558","0.906245795205163","0.681537409839346","1.59429356185475","1.13562276500093","0.890537188790981","matRRfit","smi_cc"
